index,type,title,director,cast,country,release_year,rating,duration,listed_in,description,n_countries
118,1,gurgaon,shanker raman,"akshay oberoi, pankaj tripathi, ragini khanna, aamir bashir, shalini vatsa, ashish verma",india,2017,tv 14,106,"dramas, international movies, thrillers","when the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems and plans of his own.",1
119,1,here and there,jp habac,"janine gutierrez, jc santos, victor anastacio, yesh burce, lotlot de leon",nan,2020,tv ma,99,"dramas, international movies, romantic movies","after meeting through a heated exchange on social media, two people with different backgrounds begin an online romance in the midst of a pandemic.",1
121,0,hotel del luna,nan,"lee ji eun, yeo jin goo, shin jung geun, seo yi sook, bae hae sun, pyo ji hoon, cho hyun chul, kang hong suk, lee do hyun, lee tae seon, kang mina, park you na, oh ji ho",nan,2019,tv 14,1,"international tv shows, romantic tv shows, tv comedies","when he s invited to manage a hotel for dead souls, an elite hotelier gets to know the establishment s ancient owner and her strange world.",1
122,1,in the cut,jane campion,"meg ryan, mark ruffalo, jennifer jason leigh, nick damici, sharrieff pugh, kevin bacon, yaani king mondschein, heather litteer","united kingdom, australia, france, united states",2003,r,118,thrillers,"after embarking on an affair with the cop probing the murder of a young woman, an insular schoolteacher suspects her lover was involved in the crime.",3
125,0,q force,nan,"sean hayes, wanda sykes, laurie metcalf, david harbour, gary cole, patti harrison, matt rogers",united states,2021,tv ma,1,"crime tv shows, tv action adventure, tv comedies","a gay superspy and his scrappy lgbtq squad fight to prove themselves to the agency that underestimated them. today, west hollywood... tomorrow, the world",2
126,1,shikara,vidhu vinod chopra,"aadil khan, sadia khateeb, zain khan durrani, priyanshu chatterjee, bhavna chauhan, ashwin dhar, farid azad khan, saghar sehrai",india,2020,tv 14,115,"dramas, international movies, romantic movies",a couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp.,1
128,1,agatha christie s crooked house,gilles paquet brenner,"glenn close, terence stamp, max irons, gillian anderson, christina hendricks, stefanie martini, julian sands, honor kneafsey, christian mckay, amanda abbington",nan,2017,pg 13,115,"dramas, international movies, thrillers","when a detective investigates the death of his ex lover s grandfather, he uncovers secrets about the tycoon s manipulative family.",1
129,1,an unfinished life,lasse hallstrom,"robert redford, jennifer lopez, morgan freeman, josh lucas, damian lewis, camryn manheim, becca gardner, lynda boyd, rob hayter, p. lynn johnson","germany, united states",2005,pg 13,108,dramas,"a grieving widow and her daughter move in with her estranged father in law in wyoming, where time allows them to heal and forgive.",3
131,1,blade runner the final cut,ridley scott,"harrison ford, rutger hauer, sean young, edward james olmos, m. emmet walsh, daryl hannah, william sanderson, brion james, joe turkel, joanna cassidy, james hong, morgan paull",united states,1982,r,117,"action adventure, classic movies, cult movies","in a smog choked dystopian los angeles, blade runner rick deckard is called out of retirement to snuff a quartet of escaped replicants.",2
132,0,brave animated series,nan,"tseng yun fan, kao yun shuo, chiang ching yen, meng ching fu, huang bai wei, ma kuo yao, chen yen chun, sun ke fang, kai yang niu, chen yu wen, nick liao, lin kai ling, mickey huang, liu kuan ting, jiang du hui",nan,2021,tv ma,1,"international tv shows, tv action adventure, tv comedies",a group of superheroes sets out to rid the world of evil only to realize they may not be standing on the side of justice. based on a popular comic.,1
133,1,chappie,neill blomkamp,"sharlto copley, hugh jackman, sigourney weaver, dev patel, ninja, yo landi visser, jose pablo cantillo, brandon auret, johnny selema, maurice carpede","south africa, united states",2015,r,121,"action adventure, sci fi fantasy","in a futuristic society where an indestructible robot police force keeps crime at bay, a lone droid evolves to the next level of artificial intelligence.",3
134,1,clear and present danger,phillip noyce,"harrison ford, willem dafoe, anne archer, joaquim de almeida, henry czerny, harris yulin, donald moffat, miguel sandoval, benjamin bratt, dean jones, thora birch, james earl jones, raymond cruz","united states, mexico",1994,pg 13,142,"action adventure, dramas","when the president s friend is murdered, cia deputy director jack ryan becomes unwittingly involved in an illegal war against a colombian drug cartel.",3
135,1,cliffhanger,renny harlin,"sylvester stallone, john lithgow, michael rooker, janine turner, rex linn, caroline goodall, leon, craig fairbrass, ralph waite, max perlich, paul winfield","united states, italy, france, japan",1993,r,113,action adventure,"ranger gabe walker and his partner are called to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers.",3
136,1,cold mountain,anthony minghella,"jude law, nicole kidman, renee zellweger, eileen atkins, brendan gleeson, philip seymour hoffman, natalie portman, giovanni ribisi, donald sutherland, ray winstone","united states, italy, romania, united kingdom",2003,r,154,"dramas, romantic movies","this drama follows a wounded civil war soldier making the long journey home, while his faraway love fights for survival on her deceased father s farm.",3
138,1,dear john,lasse hallstrom,"channing tatum, amanda seyfried, richard jenkins, henry thomas, d.j. cotrona, cullen moss, gavin mcculley, jose lucena jr., keith robinson, scott porter",united states,2010,pg 13,108,"dramas, romantic movies","while on summer leave, a u.s. soldier falls for a college student. but when he s forced to reenlist, their handwritten letters hold the lovers together.",2
139,1,do the right thing,spike lee,"danny aiello, ossie davis, ruby dee, richard edson, giancarlo esposito, spike lee, bill nunn, john turturro, paul benjamin, frankie faison, samuel l. jackson, rosie perez, martin lawrence, miguel sandoval",united states,1989,r,120,"classic movies, comedies, dramas","on a sweltering day in brooklyn, simmering racial tensions between residents rise to the surface and ignite rage, violence and tragedy.",2
140,1,"el patron, radiografia de un crimen",sebastian schindel,"joaquin furriel, luis ziembrowski, guillermo pfening, monica lairana, german de silva, victoria raposo, andrea garrote","argentina, venezuela",2014,tv ma,100,"dramas, international movies, thrillers",a lawyer defends an illiterate man whose exploitation by a cruel boss while working as a butcher in buenos aires led to tragedy. based on a true case.,2
141,1,extraction,steven c. miller,"bruce willis, kellan lutz, gina carano, d.b. sweeney, joshua mikel, steve coulter, dan bilzerian, heather johansen","united states, united kingdom, canada",2015,r,82,action adventure,"when a retired cia agent is kidnapped, his son, a government analyst, embarks on an unauthorized mission to find him and halt a terrorist plot.",3
142,1,freedom writers,richard lagravenese,"hilary swank, patrick dempsey, scott glenn, imelda staunton, april l. hernandez, mario, kristin herrera, jaclyn ngan, sergio montalvo, jason finn, deance wyatt, vanetta smith","germany, united states",2007,pg 13,124,dramas,"while her at risk students are reading classics such as the diary of anne frank, a teacher asks them to keep journals about their troubled lives.",3
143,1,green lantern,martin campbell,"ryan reynolds, blake lively, peter sarsgaard, mark strong, tim robbins, jay o. sanders, taika waititi, angela bassett",united states,2011,pg 13,114,"action adventure, sci fi fantasy",test pilot hal jordan harnesses glowing new powers for good when he wears an otherworldly ring and helps an intergalactic force stop a powerful threat.,2
144,1,house party,reginald hudlin,"christopher reid, christopher martin, robin harris, tisha campbell, a.j. johnson, martin lawrence, paul anthony, bowlegged lou, b fine, edith fields, kelly jo minter, clifton powell, verda bridges",united states,1990,r,104,"comedies, cult movies","grounded by his strict father, kid risks life and limb to go to his best friend play s big bash but experiences one obstacle after another.",2
145,1,house party 2,"george jackson, doug mchenry","christopher reid, christopher martin, martin lawrence, bowlegged lou, paul anthony, b fine, tisha campbell, kamron, iman, queen latifah",united states,1991,r,94,"comedies, cult movies, music musicals","kid goes off to college with scholarship money but when play loses kid s tuition funds to a shady music promoter, they devise a wild plan to raise cash.",2
146,1,house party 3,eric meza,"christopher reid, christopher martin, tisha campbell, david edwards, angela means, ketty lester, bernie mac, michael colyar, chris tucker, khandi alexander",united states,1994,r,94,"comedies, music musicals","after kid gets engaged, play plans to throw the biggest bachelor party ever. but every celebration for these two always comes with complications.",2
147,0,how to be a cowboy,nan,nan,nan,2021,tv pg,1,reality tv,"dale brisby uses social media savvy and rodeo skills to keep cowboy traditions alive and now he s teaching the world how to cowboy right, ol son.",1
148,0,hq barbers,gerhard mostert,"hakeem kae kazim, chioma omeruah, orukotan adejola, flora chiedo, emeka nwagbaraocha, anthony oseyemi, oluwabukola thomas, soibifaa dokubo",nan,2020,tv 14,1,tv shows,"when a family run barber shop in the heart of lagos is threatened by real estate developers, they ll do whatever it takes to stay in business.",1
149,1,i got the hook up,michael martin,"master p, anthony johnson, gretchen palmer, frantz turner, richard keats, joe estevez, william knight, anthony boswell, tommy tiny lister, helen martin, john witherspoon, mia x",united states,1998,r,93,"action adventure, comedies","after getting their hands on a misdirected shipment of cell phones, two hustlers try to cash in by hawking the merchandise from the back of their van.",2
150,1,in too deep,michael rymer,"omar epps, ll cool j, nia long, stanley tucci, pam grier, hill harper, jake weber, david patrick kelly, veronica webb, ron canada, robert lasardo, gano grills, ivonne coll, don harvey, mya, nasir nas jones, jermaine dupri",united states,1999,r,97,thrillers,"rookie cop jeffrey cole poses as a drug dealer to take down a crime lord and soon gets caught up in an underworld of bribery, intimidation and murder.",2
151,1,initial d,"andrew lau wai keung, alan mak","jay chou, anne suzuki, edison chen, anthony wong chau sang, shawn yue, chapman to, jordan chan, kenny bee","china, hong kong",2005,tv 14,109,"action adventure, international movies","by day, an 18 year old delivers tofu for his father, a retired race car driver; but by night, it s the teen s turn to take the wheel.",3
152,1,janoskians untold and untrue,brett weiner,"jai brooks, luke brooks, james yammouni, daniel sahyounie, beau brooks",united states,2016,tv ma,88,comedies,follow the story of three australian brothers and their two friends who became an international sensation by posting pranks and gags on youtube.,2
